unit_id,wav,source,recording,family_rule,start_ms,end_ms,duration_ms,locality,region,recordist,year,snrp,seg_idx,label_class,kept,exclusion_reasons,knn15_majority_cluster,outside_envelope
ML8521_00,,macaulay,ML8521,,2140,2390,250,Stewart Island; Paterson Inlet; Ulva Isl,,William V. Ward,1969,29.26,0,"vocalisation, species unconfirmed",False,outside_xc_p95_envelope;knn15_noise_majority;first_segment_tape_head_risk,-1,True
ML8521_01,,macaulay,ML8521,,14810,15210,400,Stewart Island; Paterson Inlet; Ulva Isl,,William V. Ward,1969,29.26,1,"vocalisation, species unconfirmed",False,knn15_noise_majority,-1,False
ML8521_02,,macaulay,ML8521,,19620,19880,260,Stewart Island; Paterson Inlet; Ulva Isl,,William V. Ward,1969,29.26,2,"vocalisation, species unconfirmed",False,outside_xc_p95_envelope;knn15_noise_majority,-1,True
ML8521_03,/opt/data/macaulay_kaka_probe/report/merged_units/ML8521_03.wav,macaulay,ML8521,,21940,22270,330,Stewart Island; Paterson Inlet; Ulva Isl,,William V. Ward,1969,29.26,3,"vocalisation, species unconfirmed",True,,26,False
ML8521_04,,macaulay,ML8521,,26700,27070,370,Stewart Island; Paterson Inlet; Ulva Isl,,William V. Ward,1969,29.26,4,"vocalisation, species unconfirmed",False,outside_xc_p95_envelope,24,True
ML8521_05,/opt/data/macaulay_kaka_probe/report/merged_units/ML8521_05.wav,macaulay,ML8521,,27700,28120,420,Stewart Island; Paterson Inlet; Ulva Isl,,William V. Ward,1969,29.26,5,"vocalisation, species unconfirmed",True,,24,False
ML77514_00,,macaulay,ML77514,,5990,6320,330,South Island; Franz Josef Glacier,,Mark Robbins,1990,7.6,0,"vocalisation, species unconfirmed",False,first_segment_tape_head_risk,11,False
ML77514_01,/opt/data/macaulay_kaka_probe/report/merged_units/ML77514_01.wav,macaulay,ML77514,,7480,7830,350,South Island; Franz Josef Glacier,,Mark Robbins,1990,7.6,1,"vocalisation, species unconfirmed",True,,11,False
ML77514_02,/opt/data/macaulay_kaka_probe/report/merged_units/ML77514_02.wav,macaulay,ML77514,,10010,10470,460,South Island; Franz Josef Glacier,,Mark Robbins,1990,7.6,2,"vocalisation, species unconfirmed",True,,11,False
ML77514_03,/opt/data/macaulay_kaka_probe/report/merged_units/ML77514_03.wav,macaulay,ML77514,,11330,11700,370,South Island; Franz Josef Glacier,,Mark Robbins,1990,7.6,3,"vocalisation, species unconfirmed",True,,11,False
