song_id,individual,site,sex,split,onset_ms,offset_ms,dur_ms,gap_to_prev_ms,bout_id,family,fine,p_family,p_fine,cluster,umap_x,umap_y,human_verified,rand
208003,TMI_2015_02_01_MMR016_01,TMI,M,train,510.8,603.7,92.9,,0,Pipe,Pipe(E[6]),0.99,0.583,41,-3.19,9.21,False,0.3745401188473625
208003,TMI_2015_02_01_MMR016_01,TMI,M,train,1044.9,1277.1,232.2,441.2,0,Stepup,Stepup(OTHER),0.36,0.998,-1,5.2,8.98,False,0.9507143064099162
208003,TMI_2015_02_01_MMR016_01,TMI,M,train,1532.5,1787.9,255.4,255.4,0,Pipe,Pipe_Downsqueak2,1.0,0.353,-1,6.97,7.5,False,0.7319939418114051
208003,TMI_2015_02_01_MMR016_01,TMI,M,train,2252.3,2507.8,255.4,464.4,0,Stepup,Stepup(OTHER),0.987,0.963,-1,5.02,8.67,False,0.5986584841970366
208003,TMI_2015_02_01_MMR016_01,TMI,M,train,2832.8,3111.5,278.6,325.1,0,Pipe,Pipe_Downlines,0.999,0.593,28,6.68,7.56,False,0.15601864044243652
208004,TMI_2015_02_01_MMR017_01,TMI,F,train,418.0,557.3,139.3,,0,Trill,Trill(short+notail),0.601,0.898,-1,7.19,10.92,False,0.15599452033620265
208004,TMI_2015_02_01_MMR017_01,TMI,F,train,696.6,835.9,139.3,139.3,0,Stepdown,Stepdown(F#[7]-A[6]),0.793,0.409,-1,6.03,9.2,False,0.05808361216819946
208004,TMI_2015_02_01_MMR017_01,TMI,F,train,859.1,975.2,116.1,23.2,0,Pipe,Pipe(E[6]+),1.0,0.564,41,-1.69,9.22,False,0.8661761457749352
208004,TMI_2015_02_01_MMR017_01,TMI,F,train,1021.7,1137.8,116.1,46.4,0,UNKNOWN,(idiolect pool),0.993,0.0,17,8.91,10.96,False,0.6011150117432088
208004,TMI_2015_02_01_MMR017_01,TMI,F,train,1370.0,1602.2,232.2,232.2,0,Pipe,Pipe(D#[7]),1.0,0.398,40,1.2,9.15,False,0.7080725777960455
208004,TMI_2015_02_01_MMR017_01,TMI,F,train,1880.8,2159.5,278.6,278.6,0,Upsqueak_Flatsqueak,Upsqueak_Flatsqueak(OTHER),0.78,0.842,1,9.53,15.51,False,0.020584494295802447
208004,TMI_2015_02_01_MMR017_01,TMI,F,train,2531.0,2786.4,255.4,371.5,0,Peaksqueak,Peaksqueak(cutting),1.0,0.826,22,6.71,6.26,False,0.9699098521619943
208004,TMI_2015_02_01_MMR017_01,TMI,F,train,2856.1,3041.8,185.8,69.7,0,Pipe_Downsqueak,Pipe_Downsqueak,0.923,1.0,12,5.34,3.29,False,0.8324426408004217
208005,TMI_PB-lGM,TMI,M,train,116.1,464.4,348.3,,0,Cough,Cough(TMI+click),1.0,1.0,8,2.91,-3.31,False,0.21233911067827616
208005,TMI_PB-lGM,TMI,M,train,1462.9,1828.6,365.7,998.5,0,Downsqueak,Downsqueak(bitunder)_Pipe(low),0.999,0.998,39,4.22,1.41,False,0.18182496720710062
208005,TMI_PB-lGM,TMI,M,train,2339.4,2618.0,278.6,510.8,0,Pipe,Pipe(G#[5]),0.998,0.546,-1,-0.24,13.15,False,0.18340450985343382
208005,TMI_PB-lGM,TMI,M,train,3285.6,3633.9,348.3,667.6,0,Cough,Cough(TMI+click),1.0,0.995,8,2.77,-3.5,False,0.3042422429595377
208005,TMI_PB-lGM,TMI,M,train,5735.3,5990.7,255.4,2101.4,1,Pipe,Pipe(OTHER),0.994,0.44,-1,-0.29,13.01,False,0.5247564316322378
208005,TMI_PB-lGM,TMI,M,train,7012.4,7378.1,365.7,1021.7,2,Cough,Cough(TMI+click),1.0,1.0,8,2.83,-3.51,False,0.43194501864211576
208005,TMI_PB-lGM,TMI,M,train,11749.3,12022.1,272.8,4371.2,3,Pipe,Pipe(G#[5]),1.0,0.383,-1,-0.31,13.0,False,0.2912291401980419
208005,TMI_PB-lGM,TMI,M,train,15795.4,16161.1,365.7,3773.2,4,Cough,Cough(TMI+click),1.0,1.0,8,2.92,-3.43,False,0.6118528947223795
208005,TMI_PB-lGM,TMI,M,train,16834.5,17060.9,226.4,673.4,4,Downsqueak,Downsqueak(hook),1.0,1.0,37,9.1,2.69,False,0.13949386065204183
208005,TMI_PB-lGM,TMI,M,train,17478.8,17821.3,342.5,418.0,4,Waah,Waah(thin+hi2),1.0,0.757,10,-1.98,12.64,False,0.29214464853521815
208005,TMI_PB-lGM,TMI,M,train,18239.3,18517.9,278.6,418.0,4,UNKNOWN,(idiolect pool),1.0,0.0,24,5.06,15.55,False,0.3663618432936917
208005,TMI_PB-lGM,TMI,M,train,19144.9,19423.5,278.6,626.9,4,UNKNOWN,(idiolect pool),0.993,0.0,11,1.64,12.4,False,0.45606998421703593
208005,TMI_PB-lGM,TMI,M,train,21176.6,21524.9,348.3,1753.1,5,Cough,Cough(TMI+click),1.0,1.0,8,2.73,-3.43,False,0.7851759613930136
208005,TMI_PB-lGM,TMI,M,train,22337.6,22558.2,220.6,812.7,5,Downsqueak,Downsqueak(hook),1.0,1.0,37,8.93,2.92,False,0.19967378215835974
208005,TMI_PB-lGM,TMI,M,train,23510.2,23858.5,348.3,952.0,5,Pipe,Pipe(OTHER),0.506,0.323,6,-6.58,8.72,False,0.5142344384136116
208005,TMI_PB-lGM,TMI,M,train,24415.8,24735.1,319.3,557.3,5,UNKNOWN,(idiolect pool),0.999,0.0,11,1.71,12.41,False,0.5924145688620425
208005,TMI_PB-lGM,TMI,M,train,25106.6,25385.2,278.6,371.5,5,UNKNOWN,(idiolect pool),1.0,0.0,24,5.07,15.5,False,0.046450412719997725
